"DateTime","Active market wallets","Active market wallets"
"2022-04-28 00:00:00",0,0
"2022-04-29 00:00:00",0,0
"2022-04-30 00:00:00",0,0
"2022-05-01 00:00:00",36182,36182
"2022-05-02 00:00:00",7192,7192
"2022-05-03 00:00:00",1883,1883
"2022-05-04 00:00:00",1541,1541
"2022-05-05 00:00:00",1575,1575
"2022-05-06 00:00:00",1093,1093
"2022-05-07 00:00:00",945,945
"2022-05-08 00:00:00",721,721
"2022-05-09 00:00:00",1097,1097
"2022-05-10 00:00:00",944,944
"2022-05-11 00:00:00",713,713
"2022-05-12 00:00:00",1258,1258
"2022-05-13 00:00:00",706,706
"2022-05-14 00:00:00",486,486
"2022-05-15 00:00:00",337,337