"DateTime","Number of sales","Number of sales"
"2022-04-28 00:00:00",0,0
"2022-04-29 00:00:00",0,0
"2022-04-30 00:00:00",0,0
"2022-05-01 00:00:00",68917,68917
"2022-05-02 00:00:00",6683,6683
"2022-05-03 00:00:00",1453,1453
"2022-05-04 00:00:00",1070,1070
"2022-05-05 00:00:00",1166,1166
"2022-05-06 00:00:00",792,792
"2022-05-07 00:00:00",773,773
"2022-05-08 00:00:00",510,510
"2022-05-09 00:00:00",815,815
"2022-05-10 00:00:00",610,610
"2022-05-11 00:00:00",496,496
"2022-05-12 00:00:00",950,950
"2022-05-13 00:00:00",468,468
"2022-05-14 00:00:00",352,352
"2022-05-15 00:00:00",206,206