"DateTime","Unique buyers","Unique buyers"
"2022-04-28 00:00:00",0,0
"2022-04-29 00:00:00",0,0
"2022-04-30 00:00:00",0,0
"2022-05-01 00:00:00",34203,34203
"2022-05-02 00:00:00",4450,4450
"2022-05-03 00:00:00",1081,1081
"2022-05-04 00:00:00",818,818
"2022-05-05 00:00:00",832,832
"2022-05-06 00:00:00",615,615
"2022-05-07 00:00:00",510,510
"2022-05-08 00:00:00",368,368
"2022-05-09 00:00:00",584,584
"2022-05-10 00:00:00",507,507
"2022-05-11 00:00:00",374,374
"2022-05-12 00:00:00",733,733
"2022-05-13 00:00:00",390,390
"2022-05-14 00:00:00",270,270
"2022-05-15 00:00:00",169,169