"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 16일","104.54","104.57","104.64","104.42","-","-0.02%"
"2022년 05월 15일","104.57","104.46","104.59","104.46","-","0.00%"
"2022년 05월 13일","104.56","104.77","105.00","104.46","-","-0.27%"
"2022년 05월 12일","104.85","104.01","104.93","103.88","-","0.97%"
"2022년 05월 11일","103.85","103.90","104.11","103.37","-","-0.07%"
"2022년 05월 10일","103.92","103.73","103.98","103.50","-","0.26%"
"2022년 05월 09일","103.65","103.66","104.19","103.39","-","-0.13%"
"2022년 05월 08일","103.79","103.66","103.80","103.66","-","0.13%"
"2022년 05월 06일","103.66","103.56","104.06","103.19","-","-0.09%"
"2022년 05월 05일","103.75","102.68","103.94","102.35","-","1.14%"
"2022년 05월 04일","102.59","103.46","103.61","102.46","-","-0.85%"
"2022년 05월 03일","103.46","103.60","103.67","103.03","-","-0.27%"
"2022년 05월 02일","103.74","103.21","103.75","103.11","-","0.76%"
"2022년 04월 29일","102.96","103.67","103.67","102.82","-","-0.64%"
"2022년 04월 28일","103.62","103.04","103.93","102.98","-","0.65%"
"2022년 04월 27일","102.95","102.28","103.28","102.22","-","0.64%"
"2022년 04월 26일","102.30","101.73","102.36","101.51","-","0.54%"
"2022년 04월 25일","101.75","101.12","101.86","101.04","-","0.53%"
"2022년 04월 22일","101.22","100.62","101.33","100.47","-","0.64%"
"2022년 04월 21일","100.58","100.35","100.64","99.82","-","0.19%"
"2022년 04월 20일","100.39","100.98","101.04","100.22","-","-0.57%"
"2022년 04월 19일","100.96","100.83","101.03","100.70","-","0.18%"
"2022년 04월 18일","100.78","100.50","100.86","100.46","-","0.46%"
"2022년 04월 15일","100.32","100.42","100.57","100.32","-","0.00%"
"2022년 04월 14일","100.32","99.79","100.76","99.57","-","0.45%"
"2022년 04월 13일","99.88","100.34","100.52","99.83","-","-0.42%"
"2022년 04월 12일","100.29","100.04","100.33","99.74","-","0.36%"
"2022년 04월 11일","99.93","99.84","100.05","99.61","-","0.14%"
"2022년 04월 08일","99.80","99.82","100.19","99.74","-","0.05%"
"2022년 04월 07일","99.75","99.65","99.83","99.40","-","0.15%"
"2022년 04월 06일","99.60","99.47","99.77","99.31","-","0.13%"
"2022년 04월 05일","99.47","99.00","99.52","98.84","-","0.48%"
"2022년 04월 04일","99.00","98.57","99.08","98.52","-","0.37%"
"2022년 04월 01일","98.63","98.33","98.74","98.31","-","0.33%"
"2022년 03월 31일","98.31","97.83","98.40","97.69","-","0.53%"
"2022년 03월 30일","97.79","98.37","98.43","97.68","-","-0.62%"
"2022년 03월 29일","98.40","99.08","99.29","98.04","-","-0.69%"
"2022년 03월 28일","99.09","98.81","99.37","98.80","-","0.31%"
"2022년 03월 25일","98.79","98.75","98.83","98.40","-","0.00%"
"2022년 03월 24일","98.79","98.64","98.96","98.60","-","0.17%"
"2022년 03월 23일","98.62","98.47","98.88","98.39","-","0.13%"
"2022년 03월 22일","98.49","98.49","98.96","98.32","-","-0.01%"
"2022년 03월 21일","98.50","98.24","98.53","98.16","-","0.27%"
"2022년 03월 18일","98.23","98.00","98.62","97.84","-","0.26%"
"2022년 03월 17일","97.97","98.50","98.51","97.73","-","-0.65%"
"2022년 03월 16일","98.62","98.89","99.08","98.29","-","-0.48%"
"2022년 03월 15일","99.10","99.13","99.20","98.64","-","0.10%"
"2022년 03월 14일","99.00","99.13","99.29","98.68","-","-0.13%"
"2022년 03월 11일","99.12","98.36","99.16","98.27","-","0.63%"
"2022년 03월 10일","98.51","98.06","98.60","97.71","-","0.55%"
"2022년 03월 09일","97.97","99.12","99.12","97.85","-","-1.10%"
"2022년 03월 08일","99.06","99.24","99.32","98.71","-","-0.23%"
"2022년 03월 07일","99.29","98.51","99.42","98.51","-","0.65%"
"2022년 03월 04일","98.65","98.04","98.92","97.84","-","0.88%"
"2022년 03월 03일","97.79","97.47","97.95","97.43","-","0.41%"
"2022년 03월 02일","97.39","97.37","97.83","97.29","-","-0.02%"
"2022년 03월 01일","97.41","96.76","97.58","96.63","-","0.73%"
"2022년 02월 28일","96.71","96.54","97.42","96.54","-","0.10%"
"2022년 02월 25일","96.61","97.00","97.22","96.52","-","-0.54%"
"2022년 02월 24일","97.14","96.22","97.74","96.22","-","0.98%"
"2022년 02월 23일","96.19","96.04","96.24","95.85","-","0.17%"
"2022년 02월 22일","96.03","96.08","96.26","95.84","-","-0.06%"
"2022년 02월 21일","96.08","96.11","96.15","95.69","-","0.04%"
"2022년 02월 18일","96.04","95.83","96.17","95.73","-","0.25%"
"2022년 02월 17일","95.80","95.77","96.11","95.71","-","0.10%"
"2022년 02월 16일","95.70","96.01","96.06","95.68","-","-0.30%"
"2022년 02월 15일","95.99","96.24","96.29","95.96","-","-0.40%"
"2022년 02월 14일","96.37","96.03","96.43","95.91","-","0.30%"
"2022년 02월 11일","96.08","95.94","96.11","95.64","-","0.55%"
"2022년 02월 10일","95.55","95.57","96.00","95.17","-","0.06%"
"2022년 02월 09일","95.49","95.59","95.67","95.38","-","-0.16%"
"2022년 02월 08일","95.64","95.43","95.75","95.40","-","0.26%"
"2022년 02월 07일","95.40","95.48","95.63","95.35","-","-0.09%"
"2022년 02월 04일","95.49","95.31","95.70","95.14","-","0.11%"
"2022년 02월 03일","95.38","96.02","96.25","95.24","-","-0.58%"
"2022년 02월 02일","95.94","96.27","96.30","95.81","-","-0.47%"
"2022년 02월 01일","96.39","96.70","96.72","96.24","-","-0.16%"
"2022년 01월 31일","96.54","97.22","97.30","96.52","-","-0.75%"
"2022년 01월 28일","97.27","97.25","97.44","97.06","-","0.02%"
"2022년 01월 27일","97.25","96.54","97.29","96.53","-","0.90%"
"2022년 01월 26일","96.39","95.96","96.54","95.91","-","0.46%"
"2022년 01월 25일","95.95","95.93","96.27","95.90","-","0.03%"
"2022년 01월 24일","95.92","95.64","96.13","95.63","-","0.29%"
"2022년 01월 21일","95.64","95.81","95.84","95.50","-","-0.10%"
"2022년 01월 20일","95.74","95.59","95.86","95.42","-","0.24%"
"2022년 01월 19일","95.51","95.77","95.79","95.49","-","-0.23%"
"2022년 01월 18일","95.73","95.22","95.83","95.13","-","0.50%"
"2022년 01월 17일","95.26","95.17","95.35","95.04","-","0.10%"
"2022년 01월 14일","95.17","94.87","95.27","94.63","-","0.40%"
"2022년 01월 13일","94.79","94.99","95.02","94.66","-","-0.13%"
"2022년 01월 12일","94.92","95.58","95.69","94.91","-","-0.74%"
"2022년 01월 11일","95.62","95.93","96.07","95.58","-","-0.38%"
"2022년 01월 10일","95.99","95.74","96.23","95.74","-","0.28%"
"2022년 01월 07일","95.72","96.26","96.29","95.71","-","-0.62%"
"2022년 01월 06일","96.32","96.20","96.39","96.04","-","0.15%"
"2022년 01월 05일","96.17","96.31","96.33","95.89","-","-0.09%"
"2022년 01월 04일","96.26","96.19","96.46","96.03","-","0.05%"
"2022년 01월 03일","96.21","95.67","96.33","95.63","-","0.26%"
"2021년 12월 31일","95.97","95.99","96.11","95.57","-","0.00%"
"2021년 12월 30일","95.97","95.89","96.22","95.86","-","0.04%"
"2021년 12월 29일","95.93","96.15","96.39","95.76","-","-0.28%"
"2021년 12월 28일","96.20","96.07","96.28","96.00","-","0.11%"
"2021년 12월 27일","96.09","96.15","96.26","96.05","-","0.08%"
"2021년 12월 23일","96.02","96.03","96.28","95.99","-","-0.06%"
"2021년 12월 22일","96.08","96.47","96.60","96.02","-","-0.43%"
"2021년 12월 21일","96.49","96.54","96.64","96.34","-","-0.06%"
"2021년 12월 20일","96.55","96.67","96.69","96.33","-","-0.01%"
"2021년 12월 17일","96.57","96.00","96.69","95.88","-","0.54%"
"2021년 12월 16일","96.04","96.43","96.45","95.85","-","-0.49%"
"2021년 12월 15일","96.51","96.55","96.91","96.30","-","-0.06%"
"2021년 12월 14일","96.57","96.35","96.59","96.10","-","0.26%"
"2021년 12월 13일","96.32","96.05","96.44","96.05","-","0.23%"
"2021년 12월 10일","96.10","96.21","96.43","95.98","-","-0.18%"
"2021년 12월 09일","96.27","95.96","96.34","95.96","-","0.39%"
"2021년 12월 08일","95.89","96.26","96.38","95.85","-","-0.49%"
"2021년 12월 07일","96.37","96.30","96.59","96.17","-","0.04%"
"2021년 12월 06일","96.33","96.15","96.43","96.13","-","0.22%"
"2021년 12월 03일","96.12","96.12","96.45","95.97","-","-0.04%"
"2021년 12월 02일","96.16","96.07","96.18","95.83","-","0.13%"
"2021년 12월 01일","96.03","95.94","96.14","95.67","-","0.04%"
"2021년 11월 30일","95.99","96.22","96.64","95.52","-","-0.36%"
"2021년 11월 29일","96.34","96.07","96.44","96.07","-","0.26%"
"2021년 11월 26일","96.09","96.72","96.77","95.75","-","-0.71%"
"2021년 11월 25일","96.77","96.81","96.82","96.65","-","-0.10%"
"2021년 11월 24일","96.88","96.53","96.94","96.43","-","0.40%"
"2021년 11월 23일","96.49","96.46","96.61","96.31","-","-0.06%"
"2021년 11월 22일","96.55","96.07","96.55","96.04","-","0.54%"
"2021년 11월 19일","96.03","95.58","96.24","95.58","-","0.51%"
"2021년 11월 18일","95.54","95.80","95.84","95.52","-","-0.30%"
"2021년 11월 17일","95.83","95.94","96.24","95.73","-","-0.09%"
"2021년 11월 16일","95.92","95.47","95.98","95.40","-","0.53%"
"2021년 11월 15일","95.41","95.12","95.60","94.97","-","0.29%"
"2021년 11월 12일","95.13","95.18","95.26","95.00","-","-0.05%"
"2021년 11월 11일","95.18","94.84","95.20","94.84","-","0.35%"
"2021년 11월 10일","94.85","93.98","94.90","93.97","-","0.95%"
"2021년 11월 09일","93.96","94.09","94.15","93.88","-","-0.10%"
"2021년 11월 08일","94.05","94.25","94.38","93.99","-","-0.29%"
"2021년 11월 05일","94.32","94.34","94.62","94.19","-","-0.03%"
"2021년 11월 04일","94.35","93.86","94.47","93.82","-","0.51%"
"2021년 11월 03일","93.86","94.12","94.21","93.82","-","-0.24%"
"2021년 11월 02일","94.09","93.93","94.13","93.82","-","0.22%"
"2021년 11월 01일","93.88","94.13","94.31","93.86","-","-0.26%"
"2021년 10월 29일","94.12","93.36","94.30","93.32","-","0.83%"
"2021년 10월 28일","93.35","93.88","93.97","93.28","-","-0.49%"
"2021년 10월 27일","93.80","93.97","94.01","93.69","-","-0.16%"
"2021년 10월 26일","93.95","93.84","94.02","93.71","-","0.14%"
"2021년 10월 25일","93.81","93.66","93.96","93.48","-","0.18%"
"2021년 10월 22일","93.64","93.75","93.79","93.54","-","-0.14%"
"2021년 10월 21일","93.77","93.58","93.79","93.50","-","0.23%"
"2021년 10월 20일","93.56","93.81","93.88","93.54","-","-0.19%"
"2021년 10월 19일","93.73","93.95","93.95","93.50","-","-0.23%"
"2021년 10월 18일","93.95","93.95","94.17","93.87","-","0.02%"
"2021년 10월 15일","93.94","94.03","94.07","93.85","-","-0.02%"
"2021년 10월 14일","93.96","94.02","94.09","93.76","-","-0.13%"
"2021년 10월 13일","94.08","94.52","94.53","94.00","-","-0.46%"
"2021년 10월 12일","94.52","94.37","94.56","94.23","-","0.21%"
"2021년 10월 11일","94.32","94.10","94.40","94.03","-","0.26%"
"2021년 10월 08일","94.07","94.21","94.34","93.94","-","-0.16%"
"2021년 10월 07일","94.22","94.23","94.28","94.08","-","-0.05%"
"2021년 10월 06일","94.27","93.99","94.45","93.98","-","0.31%"
"2021년 10월 05일","93.97","93.83","94.07","93.81","-","0.21%"
"2021년 10월 04일","93.78","94.07","94.10","93.68","-","-0.28%"
"2021년 10월 01일","94.04","94.31","94.39","93.99","-","-0.21%"
"2021년 09월 30일","94.23","94.35","94.50","94.11","-","-0.11%"
"2021년 09월 29일","94.34","93.72","94.43","93.67","-","0.61%"
"2021년 09월 28일","93.77","93.41","93.81","93.36","-","0.41%"
"2021년 09월 27일","93.38","93.28","93.49","93.21","-","0.06%"
"2021년 09월 24일","93.33","93.07","93.42","93.05","-","0.32%"
"2021년 09월 23일","93.03","93.48","93.52","92.98","-","-0.46%"
"2021년 09월 22일","93.46","93.22","93.51","92.99","-","0.28%"
"2021년 09월 21일","93.20","93.24","93.29","93.05","-","-0.08%"
"2021년 09월 20일","93.28","93.25","93.45","93.18","-","0.09%"
"2021년 09월 17일","93.19","92.88","93.25","92.76","-","0.28%"
"2021년 09월 16일","92.93","92.46","92.96","92.46","-","0.41%"
"2021년 09월 15일","92.55","92.68","92.68","92.42","-","-0.08%"
"2021년 09월 14일","92.62","92.62","92.68","92.32","-","-0.06%"
"2021년 09월 13일","92.68","92.61","92.89","92.57","-","0.10%"
"2021년 09월 10일","92.58","92.53","92.65","92.33","-","0.11%"
"2021년 09월 09일","92.48","92.71","92.76","92.38","-","-0.19%"
"2021년 09월 08일","92.65","92.54","92.86","92.47","-","0.15%"
"2021년 09월 07일","92.51","92.20","92.57","92.10","-","0.52%"
"2021년 09월 06일","92.04","92.12","92.31","92.04","-","0.00%"
"2021년 09월 03일","92.04","92.22","92.26","91.95","-","-0.21%"
"2021년 09월 02일","92.22","92.51","92.54","92.21","-","-0.24%"
"2021년 09월 01일","92.45","92.66","92.79","92.38","-","-0.19%"
"2021년 08월 31일","92.63","92.71","92.75","92.40","-","-0.03%"
"2021년 08월 30일","92.65","92.68","92.79","92.60","-","-0.04%"
"2021년 08월 27일","92.69","93.03","93.18","92.63","-","-0.40%"
"2021년 08월 26일","93.06","92.83","93.08","92.81","-","0.26%"
"2021년 08월 25일","92.82","92.88","93.13","92.81","-","-0.07%"
"2021년 08월 24일","92.89","92.99","93.08","92.81","-","-0.07%"
"2021년 08월 23일","92.96","93.46","93.50","92.95","-","-0.58%"
"2021년 08월 20일","93.50","93.56","93.73","93.43","-","-0.08%"
"2021년 08월 19일","93.57","93.14","93.58","93.14","-","0.46%"
"2021년 08월 18일","93.14","93.14","93.26","92.96","-","0.01%"
"2021년 08월 17일","93.13","92.62","93.17","92.61","-","0.54%"
"2021년 08월 16일","92.63","92.52","92.66","92.48","-","0.12%"
"2021년 08월 13일","92.52","92.97","93.01","92.47","-","-0.56%"
"2021년 08월 12일","93.04","92.89","93.04","92.85","-","0.12%"
"2021년 08월 11일","92.92","93.07","93.19","92.80","-","-0.14%"
"2021년 08월 10일","93.06","92.98","93.14","92.94","-","0.12%"
"2021년 08월 09일","92.94","92.78","92.99","92.72","-","0.16%"
"2021년 08월 06일","92.80","92.26","92.84","92.26","-","0.60%"
"2021년 08월 05일","92.24","92.28","92.35","92.11","-","-0.03%"
"2021년 08월 04일","92.27","92.04","92.31","91.82","-","0.21%"
"2021년 08월 03일","92.08","92.06","92.15","91.89","-","0.04%"
"2021년 08월 02일","92.05","92.09","92.17","91.91","-","-0.14%"
"2021년 07월 30일","92.17","91.85","92.20","91.78","-","0.34%"
"2021년 07월 29일","91.86","92.26","92.29","91.86","-","-0.50%"
"2021년 07월 28일","92.32","92.46","92.75","92.24","-","-0.12%"
"2021년 07월 27일","92.43","92.63","92.84","92.32","-","-0.23%"
"2021년 07월 26일","92.65","92.91","92.96","92.53","-","-0.28%"
"2021년 07월 23일","92.91","92.81","93.02","92.78","-","0.10%"
"2021년 07월 22일","92.82","92.80","92.92","92.51","-","0.07%"
"2021년 07월 21일","92.75","92.97","93.19","92.73","-","-0.24%"
"2021년 07월 20일","92.97","92.88","93.17","92.80","-","0.09%"
"2021년 07월 19일","92.89","92.71","93.04","92.64","-","0.22%"
"2021년 07월 16일","92.69","92.59","92.76","92.53","-","0.07%"
"2021년 07월 15일","92.62","92.39","92.69","92.27","-","0.23%"
"2021년 07월 14일","92.41","92.80","92.83","92.35","-","-0.37%"
"2021년 07월 13일","92.75","92.23","92.81","92.14","-","0.53%"
"2021년 07월 12일","92.26","92.10","92.42","92.08","-","0.14%"
"2021년 07월 09일","92.13","92.36","92.54","92.09","-","-0.31%"
"2021년 07월 08일","92.42","92.70","92.79","92.24","-","-0.25%"
"2021년 07월 07일","92.64","92.53","92.85","92.43","-","0.11%"
"2021년 07월 06일","92.55","92.24","92.66","92.00","-","0.36%"
"2021년 07월 05일","92.21","92.24","92.36","92.14","-","-0.02%"
"2021년 07월 02일","92.23","92.57","92.74","92.18","-","-0.40%"
"2021년 07월 01일","92.60","92.35","92.60","92.26","-","0.17%"
"2021년 06월 30일","92.44","92.08","92.45","92.00","-","0.42%"
"2021년 06월 29일","92.05","91.88","92.19","91.86","-","0.18%"
"2021년 06월 28일","91.89","91.81","92.01","91.70","-","0.04%"
"2021년 06월 25일","91.85","91.83","91.88","91.53","-","0.04%"
"2021년 06월 24일","91.81","91.80","91.91","91.66","-","0.01%"
"2021년 06월 23일","91.80","91.73","91.90","91.51","-","0.05%"
"2021년 06월 22일","91.76","91.88","92.14","91.64","-","-0.16%"
"2021년 06월 21일","91.90","92.32","92.37","91.83","-","-0.35%"
"2021년 06월 18일","92.22","91.88","92.40","91.81","-","0.37%"
"2021년 06월 17일","91.89","91.43","92.01","91.31","-","0.83%"
"2021년 06월 16일","91.13","90.54","91.40","90.44","-","0.65%"
"2021년 06월 15일","90.54","90.48","90.68","90.35","-","0.02%"
"2021년 06월 14일","90.52","90.51","90.60","90.41","-","-0.04%"
"2021년 06월 11일","90.56","90.07","90.61","89.96","-","0.53%"
"2021년 06월 10일","90.07","90.14","90.31","89.98","-","-0.05%"
"2021년 06월 09일","90.12","90.13","90.17","89.84","-","0.05%"
"2021년 06월 08일","90.08","89.99","90.18","89.96","-","0.14%"
"2021년 06월 07일","89.95","90.13","90.30","89.91","-","-0.21%"
"2021년 06월 04일","90.14","90.47","90.63","90.03","-","-0.42%"
"2021년 06월 03일","90.51","89.93","90.55","89.89","-","0.67%"
"2021년 06월 02일","89.91","89.92","90.25","89.86","-","0.09%"
"2021년 06월 01일","89.83","89.81","89.94","89.66","-","-0.22%"
"2021년 05월 31일","90.03","90.06","90.12","89.82","-","0.00%"
"2021년 05월 28일","90.03","90.03","90.44","89.98","-","0.07%"
"2021년 05월 27일","89.97","90.08","90.18","89.89","-","-0.08%"
"2021년 05월 26일","90.04","89.69","90.11","89.59","-","0.45%"
"2021년 05월 25일","89.64","89.85","89.87","89.54","-","-0.23%"
"2021년 05월 24일","89.84","90.03","90.10","89.76","-","-0.19%"
"2021년 05월 21일","90.02","89.78","90.15","89.65","-","0.23%"
"2021년 05월 20일","89.81","90.21","90.23","89.75","-","-0.42%"
"2021년 05월 19일","90.19","89.78","90.29","89.69","-","0.49%"
"2021년 05월 18일","89.75","90.18","90.20","89.69","-","-0.46%"
"2021년 05월 17일","90.16","90.30","90.43","90.15","-","-0.17%"
"2021년 05월 14일","90.32","90.76","90.80","90.28","-","-0.47%"
"2021년 05월 13일","90.75","90.75","90.91","90.59","-","0.04%"
"2021년 05월 12일","90.71","90.19","90.80","90.16","-","0.63%"
"2021년 05월 11일","90.14","90.24","90.36","89.98","-","-0.08%"
"2021년 05월 10일","90.21","90.23","90.34","90.04","-","-0.02%"
"2021년 05월 07일","90.23","90.88","90.96","90.19","-","-0.79%"
"2021년 05월 06일","90.95","91.27","91.38","90.88","-","-0.39%"
"2021년 05월 05일","91.31","91.28","91.44","91.17","-","0.02%"
"2021년 05월 04일","91.29","91.00","91.40","90.99","-","0.38%"
"2021년 05월 03일","90.94","91.30","91.39","90.87","-","-0.37%"
"2021년 04월 30일","91.28","90.63","91.32","90.59","-","0.73%"
"2021년 04월 29일","90.61","90.55","90.79","90.42","-","0.00%"
"2021년 04월 28일","90.61","90.90","91.13","90.55","-","-0.33%"
"2021년 04월 27일","90.91","90.88","91.07","90.81","-","0.11%"
"2021년 04월 26일","90.81","90.83","90.99","90.68","-","-0.06%"
"2021년 04월 23일","90.86","91.29","91.30","90.81","-","-0.52%"
"2021년 04월 22일","91.33","91.11","91.42","91.00","-","0.20%"
"2021년 04월 21일","91.15","91.21","91.43","91.09","-","-0.09%"
"2021년 04월 20일","91.24","91.05","91.28","90.86","-","0.19%"
"2021년 04월 19일","91.07","91.54","91.75","91.03","-","-0.53%"
"2021년 04월 16일","91.56","91.66","91.81","91.49","-","-0.15%"
"2021년 04월 15일","91.69","91.63","91.75","91.49","-","0.00%"
"2021년 04월 14일","91.69","91.83","91.83","91.57","-","-0.18%"
"2021년 04월 13일","91.85","92.08","92.32","91.79","-","-0.31%"
"2021년 04월 12일","92.14","92.18","92.33","92.01","-","-0.03%"
"2021년 04월 09일","92.16","92.07","92.41","92.03","-","0.11%"
"2021년 04월 08일","92.06","92.42","92.48","92.00","-","-0.43%"
"2021년 04월 07일","92.46","92.32","92.50","92.14","-","0.13%"
"2021년 04월 06일","92.33","92.57","92.79","92.27","-","-0.28%"
"2021년 04월 05일","92.60","93.01","93.11","92.54","-","-0.46%"
"2021년 04월 02일","93.02","92.89","93.07","92.83","-","0.10%"
"2021년 04월 01일","92.93","93.22","93.34","92.88","-","-0.32%"
"2021년 03월 31일","93.23","93.24","93.44","92.99","-","-0.07%"
"2021년 03월 30일","93.30","92.91","93.35","92.88","-","0.38%"
"2021년 03월 29일","92.94","92.72","92.96","92.72","-","0.19%"
"2021년 03월 26일","92.77","92.81","92.87","92.64","-","0.26%"
"2021년 03월 25일","92.53","92.60","92.92","92.51","-","0.00%"
"2021년 03월 24일","92.53","92.39","92.61","92.34","-","0.21%"
"2021년 03월 23일","92.34","91.80","92.39","91.76","-","0.65%"
"2021년 03월 22일","91.74","92.07","92.15","91.71","-","-0.19%"
"2021년 03월 19일","91.92","91.83","92.17","91.66","-","0.06%"
"2021년 03월 18일","91.86","91.40","91.90","91.30","-","0.46%"
"2021년 03월 17일","91.44","91.86","92.00","91.37","-","-0.46%"
"2021년 03월 16일","91.86","91.83","92.03","91.68","-","0.03%"
"2021년 03월 15일","91.83","91.66","91.96","91.54","-","0.17%"
"2021년 03월 12일","91.68","91.43","91.96","91.40","-","0.28%"
"2021년 03월 11일","91.42","91.79","91.88","91.36","-","-0.44%"
"2021년 03월 10일","91.82","92.05","92.24","91.77","-","-0.15%"
"2021년 03월 09일","91.96","92.46","92.50","91.91","-","-0.38%"
"2021년 03월 08일","92.31","91.99","92.42","91.84","-","0.37%"
"2021년 03월 05일","91.98","91.66","92.19","91.62","-","0.38%"
"2021년 03월 04일","91.63","91.01","91.67","90.97","-","0.75%"
"2021년 03월 03일","90.95","90.79","91.06","90.63","-","0.18%"
"2021년 03월 02일","90.79","91.03","91.39","90.72","-","-0.28%"
"2021년 03월 01일","91.04","90.93","91.14","90.69","-","0.18%"
"2021년 02월 26일","90.88","90.36","90.97","90.13","-","0.83%"
"2021년 02월 25일","90.13","90.07","90.29","89.68","-","-0.05%"
"2021년 02월 24일","90.18","90.10","90.43","89.98","-","0.01%"
"2021년 02월 23일","90.17","90.02","90.26","89.94","-","0.18%"
"2021년 02월 22일","90.01","90.34","90.57","90.00","-","-0.39%"
"2021년 02월 19일","90.36","90.57","90.65","90.18","-","-0.25%"
"2021년 02월 18일","90.59","90.90","90.98","90.54","-","-0.39%"
"2021년 02월 17일","90.95","90.71","91.06","90.62","-","0.49%"
"2021년 02월 16일","90.51","90.29","90.65","90.12","-","0.03%"
"2021년 02월 15일","90.48","90.45","90.48","90.27","-","0.00%"
"2021년 02월 12일","90.48","90.41","90.74","90.38","-","0.07%"
"2021년 02월 11일","90.42","90.46","90.47","90.26","-","0.05%"
"2021년 02월 10일","90.37","90.49","90.53","90.25","-","-0.08%"
"2021년 02월 09일","90.44","90.91","90.93","90.43","-","-0.54%"
"2021년 02월 08일","90.93","91.00","91.24","90.90","-","-0.12%"
"2021년 02월 05일","91.04","91.49","91.60","90.98","-","-0.53%"
"2021년 02월 04일","91.53","91.09","91.58","91.08","-","0.39%"
"2021년 02월 03일","91.17","91.05","91.31","90.99","-","-0.03%"
"2021년 02월 02일","91.20","91.00","91.29","90.80","-","0.24%"
"2021년 02월 01일","90.98","90.53","91.06","90.50","-","0.44%"
"2021년 01월 29일","90.58","90.56","90.78","90.36","-","0.14%"
"2021년 01월 28일","90.46","90.73","90.86","90.40","-","-0.21%"
"2021년 01월 27일","90.65","90.15","90.88","90.15","-","0.53%"
"2021년 01월 26일","90.17","90.39","90.61","90.12","-","-0.24%"
"2021년 01월 25일","90.39","90.23","90.52","90.08","-","0.17%"
"2021년 01월 22일","90.24","90.05","90.31","90.05","-","0.12%"
"2021년 01월 21일","90.13","90.42","90.45","90.05","-","-0.38%"
"2021년 01월 20일","90.47","90.41","90.70","90.28","-","-0.03%"
"2021년 01월 19일","90.50","90.73","90.76","90.40","-","-0.29%"
"2021년 01월 18일","90.76","90.78","90.95","90.71","-","-0.01%"
"2021년 01월 15일","90.77","90.22","90.80","90.22","-","0.59%"
"2021년 01월 14일","90.24","90.28","90.58","90.07","-","-0.13%"
"2021년 01월 13일","90.36","90.00","90.45","89.92","-","0.29%"
