"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 01월 12일","90.09","90.52","90.62","90.03","-","-0.41%"
"2021년 01월 11일","90.46","90.07","90.73","90.03","-","0.41%"
"2021년 01월 08일","90.10","89.83","90.25","89.66","-","0.30%"
"2021년 01월 07일","89.83","89.32","89.97","89.32","-","0.33%"
"2021년 01월 06일","89.53","89.48","89.80","89.21","-","0.11%"
"2021년 01월 05일","89.44","89.90","89.90","89.43","-","-0.48%"
"2021년 01월 04일","89.87","89.93","89.94","89.42","-","-0.08%"
"2021년 01월 01일","89.94","89.93","89.94","89.93","-","0.00%"
"2020년 12월 31일","89.94","89.61","89.98","89.52","-","0.29%"
"2020년 12월 30일","89.68","89.98","89.98","89.56","-","-0.35%"
"2020년 12월 29일","89.99","90.21","90.23","89.85","-","-0.38%"
"2020년 12월 28일","90.34","90.22","90.38","89.98","-","0.02%"
"2020년 12월 25일","90.32","90.33","90.42","90.21","-","0.00%"
"2020년 12월 24일","90.32","90.28","90.38","90.15","-","-0.10%"
"2020년 12월 23일","90.41","90.52","90.67","90.16","-","-0.27%"
"2020년 12월 22일","90.65","90.09","90.72","90.06","-","0.68%"
"2020년 12월 21일","90.04","89.92","91.02","89.92","-","0.03%"
"2020년 12월 18일","90.02","89.83","90.13","89.83","-","0.22%"
"2020년 12월 17일","89.82","90.27","90.27","89.73","-","-0.69%"
"2020년 12월 16일","90.45","90.49","90.70","90.13","-","-0.03%"
"2020년 12월 15일","90.47","90.69","90.82","90.42","-","-0.26%"
"2020년 12월 14일","90.71","90.98","90.98","90.42","-","-0.29%"
"2020년 12월 11일","90.98","90.74","91.04","90.62","-","0.17%"
"2020년 12월 10일","90.82","91.06","91.15","90.67","-","-0.29%"
"2020년 12월 09일","91.09","90.92","91.20","90.69","-","0.13%"
"2020년 12월 08일","90.96","90.90","91.02","90.75","-","0.19%"
"2020년 12월 07일","90.79","90.81","91.24","90.62","-","0.10%"
"2020년 12월 04일","90.70","90.71","90.87","90.48","-","-0.01%"
"2020년 12월 03일","90.71","91.06","91.09","90.51","-","-0.44%"
"2020년 12월 02일","91.12","91.19","91.50","90.99","-","-0.21%"
"2020년 12월 01일","91.31","91.94","91.94","91.16","-","-0.61%"
"2020년 11월 30일","91.87","91.78","92.05","91.51","-","0.09%"
"2020년 11월 27일","91.79","92.02","92.05","91.76","-","-0.22%"
"2020년 11월 26일","91.99","91.95","92.17","91.85","-","0.00%"
"2020년 11월 25일","91.99","92.11","92.26","91.93","-","-0.25%"
"2020년 11월 24일","92.23","92.53","92.56","92.13","-","-0.30%"
"2020년 11월 23일","92.50","92.40","92.80","92.02","-","0.12%"
"2020년 11월 20일","92.39","92.34","92.43","92.21","-","0.11%"
"2020년 11월 19일","92.29","92.56","92.72","92.24","-","-0.02%"
"2020년 11월 18일","92.32","92.44","92.51","92.21","-","-0.11%"
"2020년 11월 17일","92.42","92.49","92.61","92.27","-","-0.24%"
"2020년 11월 16일","92.64","92.72","92.84","92.46","-","-0.12%"
"2020년 11월 13일","92.75","92.95","93.00","92.71","-","-0.22%"
"2020년 11월 12일","92.96","93.01","93.14","92.78","-","-0.09%"
"2020년 11월 11일","93.04","92.70","93.21","92.61","-","0.32%"
"2020년 11월 10일","92.75","92.76","92.97","92.60","-","0.03%"
"2020년 11월 09일","92.72","92.24","92.96","92.13","-","0.54%"
"2020년 11월 06일","92.23","92.57","92.82","92.18","-","-0.32%"
"2020년 11월 05일","92.53","93.34","93.54","92.49","-","-0.94%"
"2020년 11월 04일","93.41","93.09","94.30","93.09","-","-0.16%"
"2020년 11월 03일","93.55","94.05","94.05","93.29","-","-0.61%"
"2020년 11월 02일","94.13","93.89","94.29","93.89","-","0.10%"
"2020년 10월 30일","94.04","93.92","94.08","93.65","-","0.09%"
"2020년 10월 29일","93.96","93.46","94.10","93.33","-","0.59%"
"2020년 10월 28일","93.40","93.15","93.64","93.05","-","0.50%"
"2020년 10월 27일","92.94","93.07","93.13","92.79","-","-0.11%"
"2020년 10월 26일","93.04","92.76","93.11","92.74","-","0.30%"
"2020년 10월 23일","92.77","92.93","93.13","92.66","-","-0.20%"
"2020년 10월 22일","92.95","92.67","92.97","92.61","-","0.37%"
"2020년 10월 21일","92.61","93.05","93.07","92.47","-","-0.49%"
"2020년 10월 20일","93.07","93.42","93.50","93.00","-","-0.39%"
"2020년 10월 19일","93.43","93.72","93.77","93.21","-","-0.27%"
"2020년 10월 16일","93.68","93.80","93.88","93.53","-","-0.19%"
"2020년 10월 15일","93.86","93.43","93.90","93.37","-","0.51%"
"2020년 10월 14일","93.38","93.54","93.67","93.25","-","-0.16%"
"2020년 10월 13일","93.53","93.03","93.60","93.03","-","0.50%"
"2020년 10월 12일","93.07","93.06","93.24","93.01","-","0.01%"
"2020년 10월 09일","93.06","93.56","93.59","93.00","-","-0.59%"
"2020년 10월 08일","93.61","93.61","93.78","93.50","-","-0.03%"
"2020년 10월 07일","93.63","93.83","93.90","93.56","-","-0.06%"
"2020년 10월 06일","93.69","93.43","93.85","93.33","-","0.18%"
"2020년 10월 05일","93.51","93.81","93.87","93.37","-","-0.35%"
"2020년 10월 02일","93.84","93.73","94.03","93.69","-","0.14%"
"2020년 10월 01일","93.71","93.80","93.92","93.53","-","-0.19%"
"2020년 09월 30일","93.89","93.85","94.19","93.67","-","0.00%"
"2020년 09월 29일","93.89","94.24","94.30","93.82","-","-0.41%"
"2020년 09월 28일","94.28","94.58","94.64","94.15","-","-0.38%"
"2020년 09월 25일","94.64","94.32","94.74","94.19","-","0.31%"
"2020년 09월 24일","94.35","94.38","94.59","94.20","-","-0.04%"
"2020년 09월 23일","94.39","93.99","94.43","93.93","-","0.43%"
"2020년 09월 22일","93.99","93.55","94.08","93.46","-","0.35%"
"2020년 09월 21일","93.66","93.00","93.78","92.75","-","0.79%"
"2020년 09월 18일","92.93","92.86","93.01","92.77","-","-0.05%"
"2020년 09월 17일","92.97","93.15","93.59","92.87","-","-0.26%"
"2020년 09월 16일","93.21","93.08","93.28","92.78","-","0.18%"
"2020년 09월 15일","93.05","93.06","93.14","92.79","-","0.00%"
"2020년 09월 14일","93.05","93.29","93.33","92.87","-","-0.30%"
"2020년 09월 11일","93.33","93.33","93.38","93.10","-","0.00%"
"2020년 09월 10일","93.34","93.23","93.45","92.70","-","0.09%"
"2020년 09월 09일","93.25","93.58","93.66","93.14","-","-0.20%"
"2020년 09월 08일","93.44","93.05","93.52","93.00","-","0.78%"
"2020년 09월 07일","92.72","92.97","93.09","92.72","-","0.00%"
"2020년 09월 04일","92.72","92.80","93.24","92.66","-","-0.02%"
"2020년 09월 03일","92.74","92.66","93.07","92.65","-","-0.12%"
"2020년 09월 02일","92.85","92.28","92.87","92.21","-","0.55%"
"2020년 09월 01일","92.34","92.18","92.40","91.75","-","0.21%"
"2020년 08월 31일","92.14","92.30","92.48","91.99","-","-0.25%"
"2020년 08월 28일","92.37","93.02","93.10","92.20","-","-0.68%"
"2020년 08월 27일","93.00","92.85","93.32","92.42","-","0.00%"
"2020년 08월 26일","93.01","93.02","93.36","92.85","-","-0.01%"
"2020년 08월 25일","93.02","93.28","93.35","92.97","-","-0.30%"
"2020년 08월 24일","93.30","93.20","93.34","92.84","-","0.05%"
"2020년 08월 21일","93.25","92.72","93.47","92.57","-","0.49%"
"2020년 08월 20일","92.79","92.96","93.24","92.73","-","-0.10%"
"2020년 08월 19일","92.89","92.28","93.05","92.15","-","0.67%"
"2020년 08월 18일","92.27","92.82","92.82","92.13","-","-0.62%"
"2020년 08월 17일","92.85","93.10","93.12","92.77","-","-0.26%"
"2020년 08월 14일","93.10","93.22","93.41","93.01","-","-0.26%"
"2020년 08월 13일","93.33","93.36","93.39","92.93","-","-0.12%"
"2020년 08월 12일","93.44","93.68","93.90","93.27","-","-0.20%"
"2020년 08월 11일","93.63","93.60","93.74","93.17","-","0.05%"
"2020년 08월 10일","93.58","93.39","93.69","93.30","-","0.16%"
"2020년 08월 07일","93.43","92.81","93.62","92.76","-","0.70%"
"2020년 08월 06일","92.79","92.77","93.09","92.52","-","-0.09%"
"2020년 08월 05일","92.87","93.23","93.25","92.56","-","-0.55%"
"2020년 08월 04일","93.38","93.56","93.83","93.23","-","-0.17%"
"2020년 08월 03일","93.54","93.46","93.99","93.32","-","0.21%"
"2020년 07월 31일","93.35","92.82","93.54","92.55","-","0.35%"
"2020년 07월 30일","93.02","93.32","93.68","92.93","-","-0.46%"
"2020년 07월 29일","93.45","93.75","93.80","93.18","-","-0.26%"
"2020년 07월 28일","93.70","93.58","94.01","93.49","-","0.03%"
"2020년 07월 27일","93.67","94.35","94.42","93.48","-","-0.81%"
"2020년 07월 24일","94.43","94.77","94.83","94.33","-","-0.27%"
"2020년 07월 23일","94.69","94.98","95.18","94.59","-","-0.31%"
"2020년 07월 22일","94.99","95.13","95.41","94.83","-","-0.14%"
"2020년 07월 21일","95.12","95.75","95.92","95.05","-","-0.75%"
"2020년 07월 20일","95.83","96.01","96.18","95.73","-","-0.11%"
"2020년 07월 17일","95.94","96.28","96.33","95.90","-","-0.42%"
"2020년 07월 16일","96.35","96.00","96.40","95.89","-","0.28%"
"2020년 07월 15일","96.08","96.17","96.25","95.78","-","-0.18%"
"2020년 07월 14일","96.26","96.54","96.70","96.18","-","-0.21%"
"2020년 07월 13일","96.46","96.66","96.68","96.27","-","-0.19%"
"2020년 07월 10일","96.65","96.75","96.97","96.44","-","-0.05%"
"2020년 07월 09일","96.70","96.45","96.81","96.24","-","0.28%"
"2020년 07월 08일","96.43","96.99","97.05","96.40","-","-0.47%"
"2020년 07월 07일","96.88","96.75","97.15","96.60","-","0.16%"
"2020년 07월 06일","96.72","97.15","97.19","96.57","-","-0.46%"
"2020년 07월 03일","97.17","97.21","97.36","97.12","-","-0.15%"
"2020년 07월 02일","97.32","97.14","97.34","96.81","-","0.12%"
"2020년 07월 01일","97.20","97.39","97.62","97.03","-","-0.20%"
"2020년 06월 30일","97.39","97.40","97.80","97.23","-","-0.15%"
"2020년 06월 29일","97.54","97.50","97.65","97.11","-","0.11%"
"2020년 06월 26일","97.43","97.35","97.68","97.26","-","0.00%"
"2020년 06월 25일","97.43","97.24","97.60","97.16","-","0.29%"
"2020년 06월 24일","97.15","96.66","97.24","96.55","-","0.52%"
"2020년 06월 23일","96.65","96.93","97.25","96.39","-","-0.40%"
"2020년 06월 22일","97.04","97.66","97.74","97.00","-","-0.60%"
"2020년 06월 19일","97.62","97.42","97.72","97.16","-","0.21%"
"2020년 06월 18일","97.42","97.08","97.58","96.95","-","0.27%"
"2020년 06월 17일","97.16","97.01","97.34","96.80","-","0.21%"
"2020년 06월 16일","96.96","96.56","97.25","96.43","-","0.26%"
"2020년 06월 15일","96.71","97.09","97.39","96.60","-","-0.63%"
"2020년 06월 12일","97.32","96.81","97.45","96.49","-","0.61%"
"2020년 06월 11일","96.73","96.09","96.83","95.95","-","0.81%"
"2020년 06월 10일","95.96","96.43","96.46","95.72","-","-0.38%"
"2020년 06월 09일","96.32","96.63","97.06","96.23","-","-0.30%"
"2020년 06월 08일","96.62","96.84","97.07","96.60","-","-0.33%"
"2020년 06월 05일","96.94","96.74","97.03","96.44","-","0.27%"
"2020년 06월 04일","96.68","97.32","97.63","96.57","-","-0.62%"
"2020년 06월 03일","97.28","97.57","97.63","97.18","-","-0.41%"
"2020년 06월 02일","97.67","97.84","97.91","97.43","-","-0.16%"
"2020년 06월 01일","97.83","98.30","98.32","97.79","-","-0.52%"
"2020년 05월 29일","98.34","98.51","98.55","97.94","-","-0.04%"
"2020년 05월 28일","98.38","98.91","99.09","98.35","-","-0.69%"
"2020년 05월 27일","99.06","99.02","99.34","98.72","-","0.16%"
"2020년 05월 26일","98.91","99.76","99.77","98.90","-","-0.96%"
"2020년 05월 25일","99.86","99.79","99.97","99.69","-","0.00%"
"2020년 05월 22일","99.86","99.42","99.87","99.39","-","0.50%"
"2020년 05월 21일","99.37","99.18","99.51","99.02","-","0.25%"
"2020년 05월 20일","99.12","99.55","99.56","99.00","-","-0.25%"
"2020년 05월 19일","99.37","99.62","99.73","99.23","-","-0.29%"
"2020년 05월 18일","99.67","100.36","100.47","99.58","-","-0.73%"
"2020년 05월 15일","100.40","100.26","100.49","100.08","-","-0.06%"
"2020년 05월 14일","100.47","100.19","100.56","100.15","-","0.22%"
"2020년 05월 13일","100.24","100.01","100.28","99.58","-","0.31%"
"2020년 05월 12일","99.93","100.23","100.44","99.66","-","-0.30%"
"2020년 05월 11일","100.24","99.12","100.28","99.12","-","0.50%"
"2020년 05월 08일","99.73","99.84","99.94","99.10","-","-0.16%"
"2020년 05월 07일","99.89","100.21","100.40","99.81","-","-0.20%"
"2020년 05월 06일","100.09","99.79","100.20","99.75","-","0.38%"
"2020년 05월 05일","99.71","99.51","99.97","99.30","-","0.23%"
"2020년 05월 04일","99.48","98.57","99.60","98.57","-","0.41%"
"2020년 05월 01일","99.08","99.13","99.21","98.64","-","0.06%"
"2020년 04월 30일","99.02","99.48","99.72","98.81","-","-0.55%"
"2020년 04월 29일","99.57","99.88","99.89","99.46","-","-0.30%"
"2020년 04월 28일","99.86","100.06","100.21","99.45","-","-0.18%"
"2020년 04월 27일","100.04","100.23","100.32","99.83","-","-0.34%"
"2020년 04월 24일","100.38","100.50","100.87","100.19","-","-0.05%"
"2020년 04월 23일","100.43","100.45","100.69","100.04","-","0.04%"
"2020년 04월 22일","100.39","100.21","100.50","99.90","-","0.13%"
"2020년 04월 21일","100.26","99.94","100.48","99.93","-","0.30%"
"2020년 04월 20일","99.96","99.71","100.07","99.65","-","0.17%"
"2020년 04월 17일","99.78","99.86","100.29","99.62","-","-0.24%"
"2020년 04월 16일","100.03","99.63","100.30","99.61","-","0.57%"
"2020년 04월 15일","99.46","98.82","99.98","98.82","-","0.58%"
"2020년 04월 14일","98.89","99.38","99.43","98.82","-","-0.46%"
"2020년 04월 13일","99.35","99.49","99.63","99.14","-","-0.17%"
"2020년 04월 10일","99.52","99.58","99.63","99.36","-","0.00%"
"2020년 04월 09일","99.52","100.13","100.30","99.36","-","-0.60%"
"2020년 04월 08일","100.12","99.91","100.43","99.90","-","0.22%"
"2020년 04월 07일","99.90","100.75","100.79","99.77","-","-0.78%"
"2020년 04월 06일","100.68","100.66","100.93","100.47","-","0.11%"
"2020년 04월 03일","100.58","100.20","100.85","100.14","-","0.40%"
"2020년 04월 02일","100.18","99.51","100.41","99.33","-","0.51%"
"2020년 04월 01일","99.67","99.01","99.84","98.91","-","0.63%"
"2020년 03월 31일","99.05","99.25","99.95","98.89","-","-0.13%"
"2020년 03월 30일","99.18","98.31","99.32","98.29","-","0.83%"
"2020년 03월 27일","98.36","99.29","99.81","98.27","-","-0.99%"
"2020년 03월 26일","99.35","100.96","101.02","99.24","-","-1.68%"
"2020년 03월 25일","101.05","101.60","101.91","100.84","-","-0.97%"
"2020년 03월 24일","102.04","102.13","102.21","101.05","-","-0.44%"
"2020년 03월 23일","102.49","101.95","102.98","101.65","-","-0.32%"
"2020년 03월 20일","102.82","102.94","102.99","101.09","-","0.06%"
"2020년 03월 19일","102.75","100.79","102.94","100.77","-","1.58%"
"2020년 03월 18일","101.16","99.38","101.74","99.15","-","1.59%"
"2020년 03월 17일","99.57","98.14","99.83","97.98","-","1.54%"
"2020년 03월 16일","98.07","98.70","98.70","97.45","-","-0.69%"
"2020년 03월 13일","98.75","97.45","98.81","97.33","-","1.31%"
"2020년 03월 12일","97.47","96.65","98.31","96.08","-","1.00%"
"2020년 03월 11일","96.51","96.33","96.69","95.91","-","0.10%"
"2020년 03월 10일","96.41","95.34","96.58","95.23","-","1.60%"
"2020년 03월 09일","94.89","96.11","95.79","94.65","-","-1.10%"
"2020년 03월 06일","95.95","96.61","96.70","95.71","-","-0.90%"
"2020년 03월 05일","96.82","97.38","97.44","96.51","-","-0.53%"
"2020년 03월 04일","97.34","97.17","97.59","97.12","-","0.19%"
"2020년 03월 03일","97.15","97.56","97.69","96.98","-","-0.21%"
"2020년 03월 02일","97.36","98.12","98.12","97.18","-","-0.79%"
"2020년 02월 28일","98.13","98.42","98.66","97.96","-","-0.38%"
"2020년 02월 27일","98.51","99.02","99.05","98.36","-","-0.49%"
"2020년 02월 26일","99.00","99.08","99.27","98.91","-","0.03%"
"2020년 02월 25일","98.97","99.33","99.39","98.88","-","-0.39%"
"2020년 02월 24일","99.36","99.34","99.64","99.11","-","0.10%"
"2020년 02월 21일","99.26","99.86","99.87","99.23","-","-0.60%"
"2020년 02월 20일","99.86","99.54","99.91","99.53","-","0.16%"
"2020년 02월 19일","99.71","99.43","99.72","99.38","-","0.27%"
"2020년 02월 18일","99.44","99.19","99.47","99.14","-","0.44%"
"2020년 02월 17일","99.00","99.16","99.21","99.00","-","-0.12%"
"2020년 02월 14일","99.12","99.12","99.17","99.00","-","0.06%"
"2020년 02월 13일","99.07","98.99","99.11","98.85","-","0.02%"
"2020년 02월 12일","99.05","98.77","99.05","98.71","-","0.33%"
"2020년 02월 11일","98.72","98.86","98.95","98.71","-","-0.11%"
"2020년 02월 10일","98.83","98.70","98.88","98.60","-","0.15%"
"2020년 02월 07일","98.68","98.46","98.72","98.42","-","0.19%"
"2020년 02월 06일","98.50","98.29","98.57","98.21","-","0.20%"
"2020년 02월 05일","98.30","97.94","98.32","97.90","-","0.35%"
"2020년 02월 04일","97.96","97.82","98.01","97.79","-","0.16%"
"2020년 02월 03일","97.80","97.37","97.89","97.37","-","0.42%"
"2020년 01월 31일","97.39","97.87","97.97","97.35","-","-0.49%"
"2020년 01월 30일","97.87","98.03","98.07","97.79","-","-0.12%"
"2020년 01월 29일","97.99","97.95","98.19","97.94","-","-0.03%"
"2020년 01월 28일","98.02","97.95","98.16","97.90","-","0.06%"
"2020년 01월 27일","97.96","97.88","98.00","97.78","-","0.11%"
"2020년 01월 24일","97.85","97.72","97.95","97.67","-","0.16%"
"2020년 01월 23일","97.69","97.48","97.80","97.43","-","0.16%"
"2020년 01월 22일","97.53","97.62","97.69","97.44","-","0.00%"
"2020년 01월 21일","97.53","97.63","97.66","97.39","-","-0.08%"
"2020년 01월 20일","97.61","97.64","97.73","97.58","-","-0.03%"
"2020년 01월 17일","97.64","97.30","97.66","97.27","-","0.33%"
"2020년 01월 16일","97.32","97.18","97.36","97.08","-","0.09%"
"2020년 01월 15일","97.23","97.38","97.44","97.16","-","-0.14%"
"2020년 01월 14일","97.37","97.36","97.56","97.33","-","0.03%"
"2020년 01월 13일","97.34","97.35","97.53","97.31","-","-0.02%"
"2020년 01월 10일","97.36","97.43","97.58","97.30","-","-0.09%"
"2020년 01월 09일","97.45","97.27","97.56","97.25","-","0.15%"
"2020년 01월 08일","97.30","96.83","97.35","96.82","-","0.31%"
"2020년 01월 07일","97.00","96.65","97.09","96.62","-","0.34%"
"2020년 01월 06일","96.67","96.90","96.90","96.54","-","-0.18%"
"2020년 01월 03일","96.84","96.79","97.11","96.71","-","-0.01%"
"2020년 01월 02일","96.85","96.48","96.87","96.42","-","0.48%"
"2020년 01월 01일","96.39","96.50","97.10","96.39","-","0.00%"
"2019년 12월 31일","96.39","96.73","96.73","96.36","-","-0.36%"
"2019년 12월 30일","96.74","97.02","97.02","96.61","-","-0.19%"
"2019년 12월 27일","96.92","97.54","97.55","96.92","-","-0.63%"
"2019년 12월 26일","97.53","97.62","97.71","97.49","-","-0.12%"
"2019년 12월 25일","97.65","97.67","97.73","97.35","-","0.00%"
"2019년 12월 24일","97.65","97.66","97.80","97.61","-","-0.01%"
"2019년 12월 23일","97.66","97.67","97.82","97.58","-","-0.03%"
"2019년 12월 20일","97.69","97.39","97.76","97.38","-","0.32%"
"2019년 12월 19일","97.38","97.40","97.49","97.22","-","-0.02%"
"2019년 12월 18일","97.40","97.23","97.47","97.22","-","0.19%"
"2019년 12월 17일","97.22","97.14","97.30","97.03","-","0.21%"
"2019년 12월 16일","97.02","97.18","97.18","96.93","-","-0.15%"
"2019년 12월 13일","97.17","96.78","97.24","96.72","-","-0.24%"
"2019년 12월 12일","97.40","97.08","97.52","96.59","-","0.33%"
"2019년 12월 11일","97.08","97.51","97.60","97.04","-","-0.34%"
"2019년 12월 10일","97.41","97.65","97.66","97.40","-","-0.24%"
"2019년 12월 09일","97.64","97.68","97.72","97.56","-","-0.06%"
"2019년 12월 06일","97.70","97.38","97.84","97.36","-","0.30%"
"2019년 12월 05일","97.41","97.59","97.59","97.36","-","-0.25%"
"2019년 12월 04일","97.65","97.71","97.79","97.43","-","-0.09%"
"2019년 12월 03일","97.74","97.89","97.94","97.64","-","-0.12%"
"2019년 12월 02일","97.86","98.27","98.38","97.81","-","-0.42%"
"2019년 11월 29일","98.27","98.34","98.54","98.22","-","-0.10%"
"2019년 11월 28일","98.37","98.33","98.40","98.26","-","0.00%"
"2019년 11월 27일","98.37","98.30","98.44","98.28","-","0.12%"
"2019년 11월 26일","98.25","98.33","98.38","98.23","-","-0.07%"
"2019년 11월 25일","98.32","98.27","98.38","98.17","-","0.05%"
"2019년 11월 22일","98.27","97.93","98.31","97.84","-","0.29%"
"2019년 11월 21일","97.99","97.86","98.03","97.73","-","0.06%"
"2019년 11월 20일","97.93","97.84","98.04","97.84","-","0.07%"
"2019년 11월 19일","97.86","97.81","97.89","97.75","-","0.07%"
"2019년 11월 18일","97.79","97.98","97.98","97.68","-","-0.21%"
"2019년 11월 15일","98.00","98.17","98.23","97.96","-","-0.16%"
"2019년 11월 14일","98.16","98.34","98.42","98.11","-","-0.21%"
"2019년 11월 13일","98.37","98.33","98.45","98.29","-","0.06%"
"2019년 11월 12일","98.31","98.21","98.42","98.21","-","0.11%"
"2019년 11월 11일","98.20","98.37","98.38","98.13","-","-0.15%"
"2019년 11월 08일","98.35","98.14","98.40","98.10","-","0.21%"
"2019년 11월 07일","98.14","97.95","98.23","97.82","-","0.19%"
"2019년 11월 06일","97.95","97.94","97.98","97.78","-","-0.03%"
"2019년 11월 05일","97.98","97.55","98.01","97.47","-","0.49%"
"2019년 11월 04일","97.50","97.22","97.58","97.17","-","0.27%"
"2019년 11월 01일","97.24","97.30","97.45","97.11","-","-0.11%"
"2019년 10월 31일","97.35","97.44","97.45","97.22","-","-0.31%"
"2019년 10월 30일","97.65","97.67","98.00","97.45","-","-0.04%"
"2019년 10월 29일","97.69","97.75","97.93","97.61","-","-0.07%"
"2019년 10월 28일","97.76","97.85","97.89","97.67","-","-0.07%"
"2019년 10월 25일","97.83","97.69","97.90","97.57","-","0.20%"
"2019년 10월 24일","97.63","97.46","97.78","97.28","-","0.14%"
"2019년 10월 23일","97.49","97.49","97.65","97.42","-","-0.04%"
"2019년 10월 22일","97.53","97.31","97.57","97.26","-","0.21%"
"2019년 10월 21일","97.33","97.34","97.40","97.15","-","0.05%"
"2019년 10월 18일","97.28","97.60","97.66","97.14","-","-0.34%"
"2019년 10월 17일","97.61","97.99","98.11","97.50","-","-0.40%"
"2019년 10월 16일","98.00","98.32","98.42","97.90","-","-0.30%"
"2019년 10월 15일","98.29","98.45","98.64","98.21","-","-0.16%"
"2019년 10월 14일","98.45","98.36","98.53","98.34","-","0.15%"
"2019년 10월 11일","98.30","98.70","98.74","98.20","-","-0.41%"
"2019년 10월 10일","98.70","98.98","99.07","98.62","-","-0.42%"
"2019년 10월 09일","99.12","99.09","99.16","98.90","-","-0.01%"
"2019년 10월 08일","99.13","98.98","99.25","98.85","-","0.16%"
"2019년 10월 07일","98.97","98.82","99.00","98.74","-","0.16%"
"2019년 10월 04일","98.81","98.87","99.00","98.73","-","-0.05%"
"2019년 10월 03일","98.86","99.03","99.19","98.64","-","-0.16%"
"2019년 10월 02일","99.02","99.16","99.42","98.96","-","-0.11%"
"2019년 10월 01일","99.13","99.40","99.67","99.07","-","-0.25%"
"2019년 09월 30일","99.38","99.12","99.46","99.05","-","0.27%"
"2019년 09월 27일","99.11","99.19","99.31","98.99","-","-0.02%"
"2019년 09월 26일","99.13","98.96","99.28","98.84","-","0.09%"
"2019년 09월 25일","99.04","98.38","99.06","98.36","-","0.71%"
"2019년 09월 24일","98.34","98.64","98.70","98.29","-","-0.26%"
"2019년 09월 23일","98.60","98.51","98.83","98.45","-","0.09%"
"2019년 09월 20일","98.51","98.34","98.64","98.14","-","0.24%"
"2019년 09월 19일","98.27","98.57","98.62","98.20","-","-0.29%"
"2019년 09월 18일","98.56","98.21","98.69","98.19","-","0.31%"
"2019년 09월 17일","98.26","98.65","98.74","98.19","-","-0.35%"
"2019년 09월 16일","98.61","98.12","98.71","98.03","-","0.36%"
"2019년 09월 13일","98.26","98.41","98.43","97.86","-","-0.05%"
"2019년 09월 12일","98.31","98.63","99.10","98.19","-","-0.33%"
"2019년 09월 11일","98.64","98.33","98.75","97.86","-","0.32%"
"2019년 09월 10일","98.33","98.33","98.46","98.26","-","0.05%"
