"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 05월 02일","92.51","92.47","92.83","92.22","-","0.06%"
"2018년 05월 01일","92.45","91.81","92.57","91.80","-","0.66%"
"2018년 04월 30일","91.84","91.53","91.92","91.48","-","0.33%"
"2018년 04월 27일","91.54","91.56","91.99","91.49","-","-0.02%"
"2018년 04월 26일","91.56","91.21","91.64","90.96","-","0.43%"
"2018년 04월 25일","91.17","90.76","91.26","90.75","-","0.44%"
"2018년 04월 24일","90.77","90.92","91.08","90.71","-","-0.20%"
"2018년 04월 23일","90.95","90.35","90.98","90.32","-","0.70%"
"2018년 04월 20일","90.32","89.90","90.48","89.89","-","0.42%"
"2018년 04월 19일","89.94","89.62","89.95","89.50","-","0.36%"
"2018년 04월 18일","89.62","89.50","89.78","89.45","-","0.11%"
"2018년 04월 17일","89.52","89.41","89.67","89.23","-","0.11%"
"2018년 04월 16일","89.42","89.77","89.85","89.39","-","-0.42%"
"2018년 04월 13일","89.80","89.76","89.88","89.66","-","0.06%"
"2018년 04월 12일","89.75","89.52","89.96","89.44","-","0.20%"
"2018년 04월 11일","89.57","89.58","89.67","89.36","-","-0.02%"
"2018년 04월 10일","89.59","89.83","89.97","89.54","-","-0.28%"
"2018년 04월 09일","89.84","90.07","90.27","89.82","-","-0.30%"
"2018년 04월 06일","90.11","90.38","90.60","90.07","-","-0.39%"
"2018년 04월 05일","90.46","90.09","90.59","90.07","-","0.36%"
"2018년 04월 04일","90.14","90.16","90.23","89.92","-","-0.07%"
"2018년 04월 03일","90.20","90.02","90.28","89.85","-","0.17%"
"2018년 04월 02일","90.05","89.97","90.15","89.82","-","0.09%"
"2018년 03월 30일","89.97","90.10","90.12","89.88","-","-0.20%"
"2018년 03월 29일","90.15","90.11","90.18","89.90","-","0.10%"
"2018년 03월 28일","90.06","89.32","90.15","89.25","-","0.82%"
"2018년 03월 27일","89.33","89.02","89.63","88.94","-","0.34%"
"2018년 03월 26일","89.03","89.47","89.52","88.98","-","-0.50%"
"2018년 03월 23일","89.48","89.67","89.74","89.40","-","-0.42%"
"2018년 03월 22일","89.86","89.65","89.96","89.40","-","0.09%"
"2018년 03월 21일","89.78","90.41","90.40","89.63","-","-0.65%"
"2018년 03월 20일","90.37","89.88","90.44","89.85","-","0.67%"
"2018년 03월 19일","89.77","90.20","90.34","89.76","-","-0.51%"
"2018년 03월 16일","90.23","90.14","90.38","89.89","-","0.10%"
"2018년 03월 15일","90.14","89.75","90.17","89.62","-","0.49%"
"2018년 03월 14일","89.70","89.70","89.89","89.56","-","0.04%"
"2018년 03월 13일","89.66","89.91","90.11","89.59","-","-0.26%"
"2018년 03월 12일","89.89","90.11","90.19","89.84","-","-0.22%"
"2018년 03월 09일","90.09","90.20","90.36","90.00","-","-0.10%"
"2018년 03월 08일","90.18","89.59","90.23","89.44","-","0.60%"
"2018년 03월 07일","89.64","89.51","89.78","89.41","-","0.02%"
"2018년 03월 06일","89.62","89.96","90.06","89.43","-","-0.51%"
"2018년 03월 05일","90.08","89.83","90.22","89.83","-","0.16%"
"2018년 03월 02일","89.94","90.25","90.29","89.88","-","-0.42%"
"2018년 03월 01일","90.32","90.67","90.93","90.21","-","-0.32%"
"2018년 02월 28일","90.61","90.41","90.70","90.31","-","0.28%"
"2018년 02월 27일","90.36","89.80","90.50","89.69","-","0.57%"
"2018년 02월 26일","89.85","89.96","90.05","89.50","-","-0.03%"
"2018년 02월 23일","89.88","89.78","90.06","89.76","-","0.16%"
"2018년 02월 22일","89.74","90.16","90.23","89.64","-","-0.29%"
"2018년 02월 21일","90.00","89.71","90.16","89.59","-","0.31%"
"2018년 02월 20일","89.72","89.24","89.80","89.22","-","0.70%"
"2018년 02월 19일","89.10","89.10","89.44","88.95","-","0.00%"
"2018년 02월 16일","89.10","88.57","89.23","88.25","-","0.58%"
"2018년 02월 15일","88.59","88.96","89.00","88.54","-","-0.59%"
"2018년 02월 14일","89.12","89.69","90.12","88.94","-","-0.65%"
"2018년 02월 13일","89.70","90.09","90.18","89.61","-","-0.57%"
"2018년 02월 12일","90.21","90.35","90.43","90.07","-","-0.25%"
"2018년 02월 09일","90.44","90.25","90.56","90.12","-","0.23%"
"2018년 02월 08일","90.23","90.27","90.57","90.01","-","-0.02%"
"2018년 02월 07일","90.25","89.63","90.40","89.47","-","0.75%"
"2018년 02월 06일","89.58","89.66","90.03","89.37","-","0.03%"
"2018년 02월 05일","89.55","89.35","89.70","89.02","-","0.40%"
"2018년 02월 02일","89.19","88.64","89.42","88.59","-","0.59%"
"2018년 02월 01일","88.67","89.04","89.33","88.56","-","-0.52%"
"2018년 01월 31일","89.13","89.10","89.30","88.78","-","-0.03%"
"2018년 01월 30일","89.16","89.36","89.64","88.91","-","-0.17%"
"2018년 01월 29일","89.31","89.11","89.62","89.01","-","0.27%"
"2018년 01월 26일","89.07","89.40","89.40","88.72","-","-0.36%"
"2018년 01월 25일","89.39","89.32","89.58","88.44","-","0.20%"
"2018년 01월 24일","89.21","90.00","90.11","89.16","-","-1.01%"
"2018년 01월 23일","90.12","90.39","90.59","90.06","-","-0.31%"
"2018년 01월 22일","90.40","90.44","90.70","90.35","-","-0.19%"
"2018년 01월 19일","90.57","90.50","90.70","90.16","-","0.08%"
"2018년 01월 18일","90.50","90.78","90.98","90.41","-","-0.04%"
"2018년 01월 17일","90.54","90.41","91.00","90.11","-","0.17%"
"2018년 01월 16일","90.39","90.44","90.82","90.34","-","-0.64%"
"2018년 01월 15일","90.97","90.94","90.94","90.28","-","0.00%"
"2018년 01월 12일","90.97","91.85","91.88","90.90","-","-0.96%"
"2018년 01월 11일","91.85","92.33","92.55","91.79","-","-0.52%"
"2018년 01월 10일","92.33","92.57","92.57","91.92","-","-0.22%"
"2018년 01월 09일","92.53","92.34","92.64","92.21","-","0.18%"
"2018년 01월 08일","92.36","92.06","92.40","91.88","-","0.45%"
"2018년 01월 05일","91.95","91.87","92.10","91.78","-","0.11%"
"2018년 01월 04일","91.85","92.22","92.26","91.80","-","-0.34%"
"2018년 01월 03일","92.16","91.82","92.26","91.81","-","0.32%"
"2018년 01월 02일","91.87","92.24","92.25","91.75","-","-0.41%"
"2018년 01월 01일","92.25","92.29","92.32","92.18","-","-0.04%"
"2017년 12월 31일","92.28","92.28","92.28","92.28","-","0.18%"
"2017년 12월 29일","92.12","92.67","92.67","92.08","-","-0.52%"
"2017년 12월 28일","92.60","93.00","93.02","92.57","-","-0.46%"
"2017년 12월 27일","93.03","93.30","93.31","92.96","-","-0.25%"
"2017년 12월 26일","93.26","93.25","93.40","93.20","-","-0.10%"
"2017년 12월 25일","93.35","93.37","93.40","93.19","-","0.00%"
"2017년 12월 22일","93.35","93.37","93.56","93.31","-","0.08%"
"2017년 12월 21일","93.28","93.31","93.50","93.23","-","-0.03%"
"2017년 12월 20일","93.31","93.50","93.53","93.16","-","-0.14%"
"2017년 12월 19일","93.44","93.71","93.76","93.43","-","-0.27%"
"2017년 12월 18일","93.69","93.98","94.03","93.38","-","-0.26%"
"2017년 12월 15일","93.93","93.65","94.00","93.41","-","0.47%"
"2017년 12월 14일","93.49","93.41","93.76","93.28","-","0.06%"
"2017년 12월 13일","93.43","94.06","94.11","93.39","-","-0.71%"
"2017년 12월 12일","94.10","93.91","94.22","93.76","-","0.25%"
"2017년 12월 11일","93.87","93.93","93.98","93.67","-","-0.03%"
"2017년 12월 08일","93.90","93.79","94.09","93.77","-","0.11%"
"2017년 12월 07일","93.80","93.54","93.80","93.51","-","0.20%"
"2017년 12월 06일","93.61","93.31","93.65","93.17","-","0.25%"
"2017년 12월 05일","93.38","93.08","93.49","93.03","-","0.20%"
"2017년 12월 04일","93.19","93.17","93.36","93.07","-","0.32%"
"2017년 12월 01일","92.89","93.03","93.25","92.60","-","-0.17%"
"2017년 11월 30일","93.05","93.26","93.50","92.73","-","-0.12%"
"2017년 11월 29일","93.16","93.22","93.44","92.99","-","-0.12%"
"2017년 11월 28일","93.27","92.89","93.34","92.83","-","0.40%"
"2017년 11월 27일","92.90","92.73","92.98","92.50","-","0.13%"
"2017년 11월 24일","92.78","93.12","93.25","92.67","-","-0.47%"
"2017년 11월 23일","93.22","93.30","93.31","93.07","-","0.00%"
"2017년 11월 22일","93.22","93.93","93.96","93.21","-","-0.78%"
"2017년 11월 21일","93.95","94.04","94.17","93.88","-","-0.14%"
"2017년 11월 20일","94.08","93.71","94.10","93.58","-","0.45%"
"2017년 11월 17일","93.66","93.87","93.93","93.51","-","-0.29%"
"2017년 11월 16일","93.93","93.84","94.00","93.77","-","0.13%"
"2017년 11월 15일","93.81","93.86","93.93","93.40","-","-0.02%"
"2017년 11월 14일","93.83","94.52","94.54","93.75","-","-0.70%"
"2017년 11월 13일","94.49","94.42","94.64","94.40","-","0.11%"
"2017년 11월 10일","94.39","94.50","94.65","94.26","-","-0.05%"
"2017년 11월 09일","94.44","94.88","94.96","94.42","-","-0.45%"
"2017년 11월 08일","94.87","94.80","94.97","94.78","-","-0.04%"
"2017년 11월 07일","94.91","94.72","95.15","94.70","-","0.16%"
"2017년 11월 06일","94.76","94.87","95.08","94.69","-","-0.19%"
"2017년 11월 03일","94.94","94.73","95.02","94.41","-","0.26%"
"2017년 11월 02일","94.69","94.80","94.80","94.41","-","-0.13%"
"2017년 11월 01일","94.81","94.55","94.85","94.51","-","0.27%"
"2017년 10월 31일","94.55","94.54","94.70","94.45","-","-0.01%"
"2017년 10월 30일","94.56","94.83","94.90","94.44","-","-0.38%"
"2017년 10월 27일","94.92","94.72","95.15","94.73","-","0.33%"
"2017년 10월 26일","94.61","93.63","94.72","93.48","-","0.96%"
"2017년 10월 25일","93.71","93.94","94.01","93.61","-","-0.06%"
"2017년 10월 24일","93.77","93.83","93.99","93.68","-","-0.18%"
"2017년 10월 23일","93.94","93.82","94.02","93.68","-","0.26%"
"2017년 10월 20일","93.70","93.16","93.78","93.12","-","0.58%"
"2017년 10월 19일","93.16","93.42","93.55","93.06","-","-0.21%"
"2017년 10월 18일","93.36","93.48","93.80","93.36","-","-0.16%"
"2017년 10월 17일","93.51","93.31","93.73","93.28","-","0.21%"
"2017년 10월 16일","93.31","93.08","93.36","93.08","-","0.24%"
"2017년 10월 13일","93.09","93.09","93.24","92.75","-","0.03%"
"2017년 10월 12일","93.06","92.95","93.23","92.80","-","0.04%"
"2017년 10월 11일","93.02","93.25","93.37","92.90","-","-0.29%"
"2017년 10월 10일","93.29","93.73","93.74","93.14","-","-0.41%"
"2017년 10월 09일","93.67","93.77","93.84","93.62","-","-0.14%"
"2017년 10월 06일","93.80","93.92","94.27","93.77","-","-0.17%"
"2017년 10월 05일","93.96","93.48","93.99","93.41","-","0.53%"
"2017년 10월 04일","93.46","93.57","93.58","93.26","-","-0.12%"
"2017년 10월 03일","93.57","93.60","93.92","93.43","-","0.01%"
"2017년 10월 02일","93.56","93.22","93.66","93.12","-","0.52%"
"2017년 09월 29일","93.08","93.17","93.27","92.95","-","0.00%"
"2017년 09월 28일","93.08","93.47","93.67","93.07","-","-0.30%"
"2017년 09월 27일","93.36","93.04","93.61","93.00","-","0.42%"
"2017년 09월 26일","92.97","92.60","93.29","92.55","-","0.35%"
"2017년 09월 25일","92.65","92.42","92.72","92.21","-","0.52%"
"2017년 09월 22일","92.17","92.18","92.22","91.78","-","-0.02%"
"2017년 09월 21일","92.19","92.47","92.66","92.10","-","-0.35%"
"2017년 09월 20일","92.51","91.83","92.70","91.53","-","0.78%"
"2017년 09월 19일","91.79","91.98","92.05","91.75","-","-0.28%"
"2017년 09월 18일","92.05","91.95","92.21","91.80","-","0.20%"
"2017년 09월 15일","91.87","92.00","92.17","91.58","-","-0.27%"
"2017년 09월 14일","92.12","92.35","92.66","91.97","-","-0.43%"
"2017년 09월 13일","92.52","91.88","92.53","91.71","-","0.70%"
"2017년 09월 12일","91.88","91.86","92.08","91.77","-","-0.02%"
"2017년 09월 11일","91.90","91.44","91.98","91.42","-","0.60%"
"2017년 09월 08일","91.35","91.49","91.51","91.01","-","-0.34%"
"2017년 09월 07일","91.66","92.20","92.25","91.41","-","-0.68%"
"2017년 09월 06일","92.29","92.24","92.38","91.99","-","0.04%"
"2017년 09월 05일","92.25","92.60","92.73","92.18","-","-0.42%"
"2017년 09월 04일","92.64","92.66","92.70","92.44","-","-0.18%"
"2017년 09월 01일","92.81","92.61","92.93","92.10","-","0.15%"
"2017년 08월 31일","92.67","92.85","93.35","92.56","-","-0.23%"
"2017년 08월 30일","92.88","92.30","92.95","92.25","-","0.68%"
"2017년 08월 29일","92.25","92.22","92.47","91.62","-","0.04%"
"2017년 08월 28일","92.21","92.32","92.55","92.17","-","-0.57%"
"2017년 08월 25일","92.74","93.27","93.44","92.42","-","-0.58%"
"2017년 08월 24일","93.28","93.16","93.38","93.14","-","0.14%"
"2017년 08월 23일","93.15","93.51","93.63","93.13","-","-0.43%"
"2017년 08월 22일","93.55","93.14","93.58","93.06","-","0.49%"
"2017년 08월 21일","93.09","93.45","93.58","93.00","-","-0.36%"
"2017년 08월 18일","93.43","93.68","93.76","93.33","-","-0.20%"
"2017년 08월 17일","93.62","93.44","94.08","93.31","-","0.09%"
"2017년 08월 16일","93.54","93.83","94.14","93.47","-","-0.33%"
"2017년 08월 15일","93.85","93.46","94.14","93.44","-","0.47%"
"2017년 08월 14일","93.41","93.07","93.50","93.05","-","0.37%"
"2017년 08월 11일","93.07","93.43","93.51","92.93","-","-0.35%"
"2017년 08월 10일","93.40","93.50","93.81","93.32","-","-0.16%"
"2017년 08월 09일","93.55","93.56","93.89","93.49","-","-0.11%"
"2017년 08월 08일","93.65","93.44","93.88","93.24","-","0.24%"
"2017년 08월 07일","93.43","93.51","93.54","93.30","-","-0.12%"
"2017년 08월 04일","93.54","92.76","93.77","92.70","-","0.75%"
"2017년 08월 03일","92.84","92.90","93.04","92.68","-","0.00%"
"2017년 08월 02일","92.84","93.06","93.16","92.55","-","-0.21%"
"2017년 08월 01일","93.04","92.89","93.12","92.78","-","0.19%"
"2017년 07월 31일","92.86","93.36","93.53","92.78","-","-0.43%"
"2017년 07월 28일","93.26","93.87","93.95","93.26","-","-0.64%"
"2017년 07월 27일","93.86","93.46","94.10","93.15","-","0.20%"
"2017년 07월 26일","93.67","94.09","94.28","93.37","-","-0.40%"
"2017년 07월 25일","94.05","94.03","94.12","93.64","-","0.07%"
"2017년 07월 24일","93.98","93.94","94.12","93.82","-","0.13%"
"2017년 07월 21일","93.86","94.30","94.36","93.85","-","-0.48%"
"2017년 07월 20일","94.31","94.77","95.17","94.09","-","-0.50%"
"2017년 07월 19일","94.78","94.69","94.89","94.64","-","0.19%"
"2017년 07월 18일","94.60","95.16","95.19","94.48","-","-0.56%"
"2017년 07월 17일","95.13","95.09","95.35","95.02","-","-0.02%"
"2017년 07월 14일","95.15","95.80","95.83","95.09","-","-0.61%"
"2017년 07월 13일","95.73","95.78","95.92","95.46","-","-0.03%"
"2017년 07월 12일","95.76","95.71","95.98","95.51","-","0.09%"
"2017년 07월 11일","95.67","96.07","96.20","95.65","-","-0.36%"
"2017년 07월 10일","96.02","96.03","96.20","95.95","-","0.01%"
"2017년 07월 07일","96.01","95.80","96.15","95.75","-","0.22%"
"2017년 07월 06일","95.80","96.19","96.34","95.78","-","-0.51%"
"2017년 07월 05일","96.29","96.19","96.51","96.07","-","0.07%"
"2017년 07월 04일","96.22","96.16","96.33","96.05","-","0.00%"
"2017년 07월 03일","96.22","95.65","96.24","95.63","-","0.62%"
"2017년 06월 30일","95.63","95.54","95.83","95.47","-","0.00%"
"2017년 06월 29일","95.63","96.04","96.05","95.53","-","-0.40%"
"2017년 06월 28일","96.01","96.43","96.62","95.97","-","-0.39%"
"2017년 06월 27일","96.39","97.43","97.45","96.34","-","-1.07%"
"2017년 06월 26일","97.43","97.24","97.47","97.11","-","0.17%"
"2017년 06월 23일","97.26","97.56","97.58","97.18","-","-0.34%"
"2017년 06월 22일","97.59","97.55","97.65","97.43","-","0.03%"
"2017년 06월 21일","97.56","97.73","97.80","97.52","-","-0.20%"
"2017년 06월 20일","97.76","97.53","97.87","97.43","-","0.22%"
"2017년 06월 19일","97.55","97.10","97.58","97.05","-","0.40%"
"2017년 06월 16일","97.16","97.48","97.56","97.10","-","-0.28%"
"2017년 06월 15일","97.43","96.93","97.56","96.84","-","0.51%"
"2017년 06월 14일","96.94","97.00","97.12","96.32","-","-0.03%"
"2017년 06월 13일","96.97","97.17","97.28","96.95","-","-0.18%"
"2017년 06월 12일","97.14","97.22","97.32","97.04","-","-0.13%"
"2017년 06월 09일","97.27","97.18","97.50","97.14","-","0.36%"
"2017년 06월 08일","96.92","96.70","97.23","96.59","-","0.18%"
"2017년 06월 07일","96.75","96.54","96.98","96.51","-","0.11%"
"2017년 06월 06일","96.64","96.79","96.80","96.52","-","-0.17%"
"2017년 06월 05일","96.80","96.73","96.97","96.70","-","0.08%"
"2017년 06월 02일","96.72","97.19","97.31","96.65","-","-0.49%"
"2017년 06월 01일","97.20","96.99","97.32","96.90","-","0.29%"
"2017년 05월 31일","96.92","97.43","97.50","96.86","-","-0.37%"
"2017년 05월 30일","97.28","97.63","97.78","97.22","-","-0.16%"
"2017년 05월 29일","97.44","97.43","97.61","97.33","-","0.00%"
"2017년 05월 26일","97.44","97.23","97.55","97.04","-","0.20%"
"2017년 05월 25일","97.25","97.07","97.28","96.88","-","0.01%"
"2017년 05월 24일","97.24","97.34","97.47","97.03","-","-0.11%"
"2017년 05월 23일","97.35","96.95","97.42","96.80","-","0.38%"
"2017년 05월 22일","96.98","97.22","97.44","96.80","-","-0.16%"
"2017년 05월 19일","97.14","97.85","97.85","97.08","-","-0.76%"
"2017년 05월 18일","97.88","97.44","98.07","97.37","-","0.31%"
"2017년 05월 17일","97.58","98.09","98.13","97.33","-","-0.54%"
"2017년 05월 16일","98.11","98.88","98.89","98.08","-","-0.81%"
"2017년 05월 15일","98.91","99.15","99.26","98.79","-","-0.34%"
"2017년 05월 12일","99.25","99.63","99.70","99.16","-","-0.37%"
"2017년 05월 11일","99.62","99.66","99.89","99.49","-","-0.05%"
"2017년 05월 10일","99.67","99.48","99.72","99.36","-","0.01%"
"2017년 05월 09일","99.66","99.14","99.69","99.08","-","0.61%"
"2017년 05월 08일","99.06","98.79","99.19","98.60","-","0.42%"
"2017년 05월 05일","98.65","98.77","98.97","98.54","-","-0.15%"
"2017년 05월 04일","98.80","99.35","99.46","98.71","-","-0.41%"
"2017년 05월 03일","99.21","98.92","99.39","98.89","-","0.23%"
"2017년 05월 02일","98.98","99.07","99.22","98.92","-","-0.10%"
"2017년 05월 01일","99.08","98.93","99.21","98.89","-","0.03%"
"2017년 04월 28일","99.05","99.17","99.25","98.72","-","-0.03%"
"2017년 04월 27일","99.08","98.95","99.33","98.81","-","0.03%"
"2017년 04월 26일","99.05","98.85","99.33","98.73","-","0.27%"
"2017년 04월 25일","98.78","99.05","99.22","98.69","-","-0.31%"
"2017년 04월 24일","99.09","98.97","99.33","98.91","-","-0.89%"
"2017년 04월 21일","99.98","99.83","100.03","99.65","-","0.20%"
"2017년 04월 20일","99.78","99.78","99.85","99.37","-","0.04%"
"2017년 04월 19일","99.74","99.51","99.89","99.51","-","0.24%"
"2017년 04월 18일","99.50","100.34","100.40","99.47","-","-0.79%"
"2017년 04월 17일","100.29","100.49","100.47","100.00","-","-0.27%"
"2017년 04월 14일","100.56","100.58","100.61","100.36","-","0.00%"
"2017년 04월 13일","100.56","100.16","100.60","100.01","-","-0.22%"
"2017년 04월 12일","100.78","100.73","100.82","100.09","-","0.07%"
"2017년 04월 11일","100.71","100.97","101.08","100.58","-","-0.31%"
"2017년 04월 10일","101.02","101.18","101.34","100.94","-","-0.16%"
"2017년 04월 07일","101.18","100.73","101.26","100.52","-","0.51%"
"2017년 04월 06일","100.67","100.50","100.77","100.38","-","0.11%"
"2017년 04월 05일","100.56","100.52","100.85","100.41","-","0.02%"
"2017년 04월 04일","100.54","100.49","100.73","100.42","-","0.00%"
"2017년 04월 03일","100.54","100.50","100.69","100.37","-","0.19%"
"2017년 03월 31일","100.35","100.49","100.65","100.25","-","-0.06%"
"2017년 03월 30일","100.41","99.96","100.60","99.92","-","0.41%"
"2017년 03월 29일","100.00","99.70","100.13","99.67","-","0.29%"
"2017년 03월 28일","99.71","99.22","99.79","99.11","-","0.54%"
"2017년 03월 27일","99.17","99.47","99.53","98.86","-","-0.46%"
"2017년 03월 24일","99.63","99.77","100.00","99.53","-","-0.13%"
"2017년 03월 23일","99.76","99.75","99.87","99.63","-","0.08%"
"2017년 03월 22일","99.68","99.69","99.93","99.55","-","-0.13%"
"2017년 03월 21일","99.81","100.37","100.47","99.66","-","-0.60%"
"2017년 03월 20일","100.41","100.36","100.45","100.02","-","0.11%"
"2017년 03월 17일","100.30","100.24","100.47","100.14","-","-0.06%"
"2017년 03월 16일","100.36","100.56","100.75","100.21","-","-0.38%"
"2017년 03월 15일","100.74","101.71","101.72","100.49","-","-0.94%"
"2017년 03월 14일","101.70","101.40","101.79","101.34","-","0.38%"
"2017년 03월 13일","101.31","101.31","101.39","101.01","-","0.06%"
"2017년 03월 10일","101.25","101.99","102.00","101.17","-","-0.59%"
"2017년 03월 09일","101.85","102.11","102.25","101.70","-","-0.22%"
"2017년 03월 08일","102.07","101.79","102.19","101.71","-","0.26%"
"2017년 03월 07일","101.81","101.68","101.91","101.53","-","0.17%"
"2017년 03월 06일","101.64","101.40","101.75","101.22","-","0.10%"
"2017년 03월 03일","101.54","102.13","102.17","101.34","-","-0.65%"
"2017년 03월 02일","102.20","101.92","102.26","101.78","-","0.41%"
"2017년 03월 01일","101.78","101.43","101.97","101.23","-","0.65%"
"2017년 02월 28일","101.12","101.21","101.40","100.78","-","-0.01%"
"2017년 02월 27일","101.13","101.11","101.27","100.69","-","0.04%"
"2017년 02월 24일","101.09","100.95","101.17","100.66","-","0.04%"
"2017년 02월 23일","101.05","101.38","101.44","100.87","-","-0.17%"
"2017년 02월 22일","101.22","101.40","101.72","101.17","-","-0.15%"
"2017년 02월 21일","101.37","100.93","101.60","100.91","-","0.42%"
"2017년 02월 20일","100.95","100.93","100.98","100.77","-","0.00%"
"2017년 02월 17일","100.95","100.52","100.96","100.45","-","0.51%"
"2017년 02월 16일","100.44","101.05","101.07","100.41","-","-0.73%"
"2017년 02월 15일","101.18","101.22","101.76","101.00","-","-0.07%"
"2017년 02월 14일","101.25","100.98","101.38","100.70","-","0.29%"
"2017년 02월 13일","100.96","100.84","101.11","100.58","-","0.16%"
"2017년 02월 10일","100.80","100.67","101.01","100.58","-","0.15%"
"2017년 02월 09일","100.65","100.22","100.68","100.08","-","0.37%"
"2017년 02월 08일","100.28","100.44","100.64","100.06","-","0.02%"
"2017년 02월 07일","100.26","99.93","100.72","99.91","-","0.35%"
"2017년 02월 06일","99.91","99.65","100.25","99.63","-","0.04%"
"2017년 02월 03일","99.87","99.79","100.26","99.56","-","0.08%"
"2017년 02월 02일","99.79","99.76","99.87","99.23","-","0.15%"
"2017년 02월 01일","99.64","99.56","100.04","99.50","-","0.13%"
"2017년 01월 31일","99.51","100.33","100.51","99.43","-","-0.92%"
"2017년 01월 30일","100.43","100.32","101.02","100.17","-","-0.10%"
"2017년 01월 27일","100.53","100.49","100.82","100.32","-","0.15%"
"2017년 01월 26일","100.38","99.91","100.73","99.79","-","0.35%"
"2017년 01월 25일","100.03","100.31","100.41","99.83","-","-0.32%"
"2017년 01월 24일","100.35","100.08","100.43","99.92","-","0.19%"
"2017년 01월 23일","100.16","100.74","100.74","99.90","-","-0.58%"
"2017년 01월 20일","100.74","101.17","101.50","100.70","-","-0.41%"
"2017년 01월 19일","101.15","101.35","101.73","100.97","-","0.22%"
"2017년 01월 18일","100.93","100.43","101.34","100.32","-","0.60%"
"2017년 01월 17일","100.33","101.54","101.62","100.26","-","-0.84%"
"2017년 01월 16일","101.18","101.66","101.73","101.32","-","0.00%"
"2017년 01월 13일","101.18","101.51","101.67","101.01","-","-0.17%"
"2017년 01월 12일","101.35","101.67","101.80","100.72","-","-0.42%"
"2017년 01월 11일","101.78","102.07","102.95","101.28","-","-0.23%"
"2017년 01월 10일","102.01","101.85","102.10","101.51","-","0.08%"
"2017년 01월 09일","101.93","102.25","102.52","101.80","-","-0.28%"
"2017년 01월 06일","102.22","101.40","102.29","101.37","-","0.69%"
"2017년 01월 05일","101.52","102.45","102.51","101.30","-","-1.15%"
"2017년 01월 04일","102.70","103.17","103.44","102.39","-","-0.49%"
"2017년 01월 03일","103.21","102.88","103.82","102.59","-","0.37%"
"2017년 01월 02일","102.83","102.38","102.94","102.21","-","0.61%"